Unnamed: 0,person_id,tour_no,tour_type,stop_no,stop_type,stop_mode,primary_stop,arrival_time,departure_time,prev_stop_departure_time,drivetrain,make,model,stop_zone,prev_stop_zone,stop_location,prev_stop_location,id,vehicle_drivetrain
6500834,2962653,1,Other,1,S hop,Walk,False,8.25,8.25,7.75,ICE, , ,2833,2859,2833,2859,2962653,BEV
1671124,1407190,2,Other,1,Other,AMOD,True,15.25,15.75,15.25,ICE, , ,4025,4062,4025,4062,1407190,ICE
6582010,2993832,3,Other,1,Other,MRT,True,15.25,18.25,14.75,ICE, , ,2411,2904,2411,2904,2993832,BEV
594015,1144536,1,Education,1,Education,Car Sharing 3,True,7.75,14.75,7.75,ICE, , ,2223,2223,2223,2223,1144536,ICE
3305356,1828488,1,Work,1,Work,BusTravel,True,10.25,16.75,10.25,ICE, , ,1106,1106,1106,1106,1828488,BEV
6493937,2960021,1,Education,1,Education,MRT,True,7.75,14.75,5.75,ICE, , ,4038,2858,4038,2858,2960021,ICE
1318062,1319369,2,Other,2,Other,Walk,True,20.25,20.25,20.25,ICE, , ,3028,3017,3028,3017,1319369,BEV
3949779,2048019,1,Other,1,Other,AMOD,True,15.25,15.25,15.25,ICE, , ,1513,1510,1513,1510,2048019,ICE
9984560,4222609,3,Other,1,Other,Walk,False,19.75,19.75,19.75,ICE, , ,5632,5635,5632,5635,4222609,ICE
8646335,3730890,1,Work,3,Work,BEV Car,True,8.25,16.75,7.75,ICE, , ,5602,5219,5602,5219,3730890,BEV
9150241,3917957,1,Work,1,Work,Car Sharing 2,True,6.25,15.25,5.75,ICE, , ,1608,5336,1608,5336,3917957,ICE
1504817,1366820,2,Other,6,Home,AMOD,False,21.25,26.75,20.25,ICE, , ,4009,1515,4009,1515,1366820,ICE
3922158,2039384,2,Work,4,Work,BEV Car,False,16.25,16.25,16.25,ICE, , ,1611,1310,1611,1310,2039384,BEV
2506921,1621475,3,Other,2,Home,MRT,False,22.75,26.75,21.75,ICE, , ,2009,3005,2009,3005,1621475,ICE
4852769,2366095,1,Other,3,Home,BEV Car,False,10.75,26.75,10.25,ICE, , ,2123,2023,2123,2023,2366095,BEV
1831296,1447313,2,Other,1,Other,Car Sharing 2,True,12.75,14.75,12.75,ICE, , ,5329,5001,5329,5001,1447313,BEV
701739,1170626,1,Education,2,Other,AMOD,False,14.75,14.75,14.25,ICE, , ,3313,2234,3313,2234,1170626,BEV
10356985,4381866,1,Work,1,Work,MRT,True,15.25,18.25,13.75,ICE, , ,3106,3103,3106,3103,4381866,BEV
1712185,1417987,2,Other,4,Home,Motorcycle,False,19.25,19.25,18.75,ICE, , ,4069,4027,4069,4027,1417987,BEV
944158,1229194,1,Education,3,Home,MRT,False,14.25,26.75,14.25,ICE, , ,2505,2505,2505,2505,1229194,BEV
3077150,1763563,1,Education,3,Home,Bike,False,14.25,19.25,14.25,ICE, , ,5202,5202,5202,5202,1763563,BEV
6027854,2784237,1,S hop,2,Home,Walk,False,15.75,26.75,15.75,ICE, , ,2610,2605,2610,2605,2784237,BEV
9856127,4173662,1,S hop,3,Home,MRT,False,14.75,26.75,14.25,ICE, , ,5624,5616,5624,5616,4173662,ICE
1606095,1391745,1,Education,1,Education,Car Sharing 3,True,7.75,14.25,7.75,ICE, , ,4043,4043,4043,4043,1391745,ICE
2822102,1698709,2,Other,1,Other,AMOD_Pool,True,15.75,17.75,15.75,ICE, , ,3126,3011,3126,3011,1698709,BEV
8057676,3524732,1,Work,1,Work,Car,True,8.25,8.25,7.75,ICE, , ,2023,4066,2023,4066,3524732,ICE
3197423,1794971,3,Other,1,Other,Car Sharing 3,True,19.25,19.25,19.25,ICE, , ,5223,5407,5223,5407,1794971,BEV
4386221,2200094,3,Other,2,S hop,AMOD,False,17.25,17.25,17.25,ICE, , ,1817,1811,1817,1811,2200094,BEV
7024008,3163976,1,Work,4,Home,Car,False,12.25,16.75,11.75,ICE, , ,3027,4013,3027,4013,3163976,ICE
9805189,4155462,1,Other,3,Other,BEV Car,False,17.25,17.25,16.75,ICE, , ,5309,5355,5309,5355,4155462,BEV
