fromZone,ToZone,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
101250,100920,0.072827,0.03849,0.027156,0.025916,0.030697,0.052979,0.094576,0.218863,0.24247,0.21682,0.202968,0.211255,0.208531,0.213683,0.198502,0.213149,0.282832,0.247074,0.202531,0.179428,0.151183,0.110337,0.08974,0.067406
100082,101055,0.060792,0.025999,0.14284,0.02533,0.0,0.0,0.004888,0.01736,0.013765,0.082585,0.129638,0.362861,0.399362,0.407163,0.740255,0.429341,0.510983,0.411447,0.32231,0.212223,0.438616,0.559104,0.136736,0.072262
100743,100893,0.021745,0.0,0.004477,0.0,0.0,0.0,0.00614,0.017189,0.029373,0.089209,0.0,0.086065,0.0,0.098163,0.115644,0.024872,0.102853,0.024517,0.040506,0.030912,0.026382,0.097097,0.023628,0.0
100596,100019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021956,0.0,0.0,0.0,0.0,0.009817,0.084659,0.012076,0.005658,0.012984
100875,100270,0.0,0.0,0.0,0.0,0.000143,0.04611,0.125745,0.013486,0.008671,0.023219,0.009096,0.00923,0.00931,0.030726,0.00731,0.0,0.0,0.008561,0.0,0.0,0.0,0.0,0.0,0.0
100233,100156,0.02597,0.0,0.0,0.005565,0.048763,0.577807,0.07773,0.186814,0.166014,0.386754,0.251487,0.155448,0.234607,0.192674,0.179357,0.449927,0.562461,0.393101,0.47795,0.417578,0.311103,0.09922,0.11406,0.06249
100418,100329,0.025979,0.014333,0.0,0.0,0.0,0.026875,0.06853,0.087466,0.123535,0.332057,0.401037,0.331162,0.313245,0.052854,0.065396,0.335641,0.341912,0.104813,0.061813,0.028368,0.023889,0.016722,0.015229,0.022396
101254,101117,0.000625,0.0,0.0,0.0,0.000547,0.001,0.00163,0.000848,0.000996,0.001927,0.001536,0.0011,0.001493,0.003942,0.0,0.006626,0.003418,0.011529,0.006032,0.001948,0.004517,0.002964,0.001138,0.0
101222,100259,0.0,0.0,0.0,0.0,0.0,0.116367,0.12638,0.076699,0.069727,0.008992,0.00432,0.006061,0.00233,0.003211,0.009168,0.440117,0.008693,0.005045,0.0,0.0,0.0,0.0,0.0,0.0
100117,100681,0.022415,0.0,0.0,0.0,0.0,0.034507,0.049278,0.077889,0.008138,0.035138,0.027228,0.012201,0.020881,0.024781,0.023955,0.065315,0.088926,0.063532,0.057422,0.255467,0.023439,0.100165,0.098924,0.012202
100124,101165,0.0,0.0,0.0,0.0,0.0,0.089637,0.048708,0.041441,0.055667,0.0,0.050765,0.031479,0.052514,0.125451,0.062184,0.142,0.122732,0.075146,0.123611,0.070436,0.069128,0.058069,0.063239,0.028236
100988,100060,0.021503,0.0,0.030409,0.0,0.127174,0.042953,0.041523,0.035593,0.03433,0.045257,0.057736,0.08853,0.065352,0.058184,0.035242,0.030687,0.031487,0.047134,0.079453,0.017471,0.010752,0.018756,0.005448,0.0
100565,100626,0.048154,0.0,0.048154,0.048154,0.258425,0.093097,1.564535,2.37245,1.596595,0.227928,0.048154,0.048154,0.096308,0.226323,0.117174,0.083467,0.0,0.048154,0.147672,0.146066,0.0,0.048154,0.0,0.0
100688,101024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004218,0.032245,0.0,0.0,0.007618,0.0,0.003992,0.009038,0.007381,0.0,0.0,0.0,0.0
100536,100121,0.349983,0.350134,0.345003,0.345003,0.423161,0.702166,0.975089,0.69441,0.561379,0.421819,0.6598,0.43447,0.423013,0.501513,0.518989,0.497357,0.385867,0.388636,0.379552,0.396569,0.351112,0.359483,0.350496,0.345003
100052,100983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011001,0.089396,0.02301,0.0,0.0,0.0,0.009551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100899,100904,2.427167,1.599689,0.844621,0.582956,0.877635,1.540638,13.431098,13.458605,16.000111,5.566948,4.557327,4.293426,4.530924,5.893523,5.827228,5.957921,6.089565,6.0915,5.527342,5.134674,4.767391,4.755057,3.441824,3.610044
101089,100886,0.021775,0.03894,0.0,0.0,0.0,0.0,0.024066,0.081897,0.040805,0.159225,0.168879,0.264929,0.230535,0.1546,0.248448,0.318149,0.392664,0.301794,0.23131,0.075495,0.117475,0.066427,0.06807,0.063929
100508,100767,0.0,0.0,0.0,0.0,0.0,0.0,0.016779,0.0,0.022802,0.0,0.022802,0.0,0.018273,0.038254,0.0,0.031093,0.0,0.0,0.0,0.019764,0.0,0.030627,0.0,0.0
100001,101167,0.0,0.0,0.0,0.0,0.0,0.0,0.032609,0.0,0.032609,0.032802,0.032802,0.0,0.032802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101256,100548,0.085938,0.030256,0.002005,0.002708,0.013698,0.030318,1.562538,0.542099,0.463729,0.35498,0.325611,0.398405,0.19522,0.435285,0.390172,0.4423,0.322219,0.259251,0.327945,0.272968,0.302286,0.25019,0.14217,0.133212
