Unnamed: 0,fromZone,ToZone,h6,h7,h8,h9,h10,From_List,From_Number_Zones,To_List,To_Number_Zones,factor
1152006,100356,100253,0.759439,1.08419,1.306871,1.301484,0.92265,"[8327, 8403, 8401]",3.0,"[5334, 5336, 5335]",3.0,9.0
1052739,100224,100234,2.149526,4.304583,2.847726,2.199776,1.955303,"[5403, 5007]",2.0,"[5116, 5115]",2.0,4.0
823864,100021,100018,9.098646,9.928364,19.644547,12.259632,8.409886,"[1303, 1302]",2.0,"[1217, 1211, 1213, 1212]",4.0,8.0
695456,100432,100299,0.011184,0.275757,0.026002,0.054734,0.092976,[7013],1.0,[3134],1.0,1.0
631546,100472,100372,0.011838,0.0,0.0,0.0,0.010732,"[6139, 6138]",2.0,"[8451, 8450]",2.0,4.0
652520,100192,100370,0.024247,0.020121,0.02513,0.018399,0.011755,"[3027, 3026, 3201, 3028, 3029]",5.0,"[8433, 8431]",2.0,10.0
712620,100207,100327,0.992009,0.308685,0.790677,0.250968,0.167312,[4017],1.0,"[6166, 6157, 6159, 6167, 6165, 6160]",6.0,6.0
892004,100092,100032,0.480308,1.417862,1.912098,1.766143,1.944177,"[2435, 2433, 2437]",3.0,[1413],1.0,3.0
563476,100399,100283,0.018353,0.011639,0.007535,0.0,0.011094,"[6019, 6018]",2.0,"[5635, 5634]",2.0,4.0
700699,100197,100291,0.012891,0.102612,0.02042,0.391058,0.053821,"[4002, 4003, 4004]",3.0,"[5214, 5202, 5203, 5201]",4.0,12.0
927939,101265,100425,0.046114,0.467138,0.375943,0.186137,0.101577,"[2315, 2316]",2.0,"[7005, 7004, 7003]",3.0,6.0
670976,100306,100437,0.06585,0.009841,0.014112,0.097774,0.044263,[3104],1.0,[7507],1.0,1.0
836212,100031,100334,0.01813,0.02643,0.055116,0.027284,0.062364,[1416],1.0,[6163],1.0,1.0
1116775,100462,100278,0.0,0.0,0.058696,0.032972,0.0,"[2802, 2803]",2.0,"[5625, 5626, 5628]",3.0,6.0
1077524,100292,100157,0.271778,0.451288,0.698513,0.476157,0.366629,"[5217, 5218, 5220, 5219]",4.0,[2801],1.0,4.0
1009316,100270,100354,0.732885,2.289903,2.105194,1.01297,0.706919,"[5356, 5323, 5357]",3.0,[7602],1.0,3.0
784915,100074,100422,0.022969,0.0,0.08011,0.020041,0.024651,[2124],1.0,"[6705, 6706]",2.0,2.0
961398,100165,100484,0.98326,2.686032,2.002811,1.034152,0.661269,"[2852, 2849]",2.0,[1912],1.0,2.0
781450,100071,100502,1.214007,0.759707,2.186023,2.085741,2.22755,"[2041, 2042, 2043, 2101]",4.0,"[1903, 1901, 1904]",3.0,12.0
671986,100307,100021,0.098763,0.116727,0.161835,0.219289,0.243707,"[3125, 3106, 3123, 3124, 3105]",5.0,"[1303, 1302]",2.0,10.0
1160340,100363,100213,3.381083,1.474688,1.226045,0.840776,0.682017,[8438],1.0,[4029],1.0,1.0
660807,100298,100202,0.416302,1.552069,1.140716,0.964184,1.188087,[3115],1.0,"[4013, 4012]",2.0,2.0
1175135,100376,100209,0.036863,0.239918,0.174233,0.020476,0.046561,"[8428, 8448, 8447]",3.0,[4025],1.0,3.0
1018897,100273,100201,0.349784,0.301171,0.17765,0.293338,0.217111,"[5604, 5605]",2.0,"[4021, 4022, 4027]",3.0,6.0
767398,100059,100039,4.342603,6.617471,8.545684,5.843756,5.218759,"[2039, 2040, 2037, 2038]",4.0,"[1709, 1705, 1703, 1701, 1712, 1706, 1704]",7.0,28.0
1043918,101256,100257,0.208468,0.480808,0.683109,0.87773,1.200994,[5644],1.0,"[5316, 5307, 5308]",3.0,3.0
1159347,100362,100241,0.997156,0.792597,0.456624,0.055619,0.106919,"[8415, 8439, 8440]",3.0,"[5517, 5516]",2.0,6.0
706635,100202,100013,0.815974,1.100031,1.300818,1.875655,2.751769,"[4013, 4012]",2.0,"[1208, 2117, 1207]",3.0,6.0
568141,100403,100214,0.0946,0.028066,0.129386,0.245682,0.335325,"[6603, 6601]",2.0,"[4046, 4032, 4033]",3.0,6.0
1009271,100270,100389,0.505927,1.191879,0.925034,0.709327,0.737941,"[5356, 5323, 5357]",3.0,"[8011, 8010, 8022, 8021]",4.0,12.0
612597,100321,100203,0.353864,0.164577,0.165293,0.0,0.03827,[6123],1.0,[4011],1.0,1.0
616427,100324,100018,2.110078,3.291631,3.130464,3.870378,2.514074,"[6156, 6158, 6155, 6154, 6147, 6153]",6.0,"[1217, 1211, 1213, 1212]",4.0,24.0
909441,100113,100501,2.010831,4.186087,6.597103,2.829222,1.121214,"[2220, 2217]",2.0,[1607],1.0,2.0
737865,100101,100008,1.199626,0.777738,0.514266,0.479533,0.513339,"[2609, 2608, 2607, 2606]",4.0,"[1113, 1115, 1110]",3.0,12.0
996423,100260,100390,0.047455,0.088298,0.116453,0.245703,0.275416,"[5320, 5322, 5321]",3.0,[6002],1.0,3.0
1016754,100241,100292,0.515147,4.90469,1.488373,0.945769,1.205568,"[5517, 5516]",2.0,"[5217, 5218, 5220, 5219]",4.0,8.0
765026,100057,100486,0.0,0.0,0.0,0.0,0.0,"[2034, 2011, 2010]",3.0,[2102],1.0,3.0
701744,100198,100114,0.036247,0.020985,0.164405,0.046416,0.069624,[4001],1.0,"[2221, 2216, 2215]",3.0,3.0
558515,100395,100001,0.664583,0.044852,0.048302,0.068244,0.22923,[6006],1.0,[8006],1.0,1.0
1001816,100264,100227,18.79427,12.852516,10.804146,6.543344,3.470534,"[5371, 5369, 5343, 5368, 5347]",5.0,[5401],1.0,5.0
1106101,100442,101263,0.548501,0.83159,0.552585,0.608034,0.391451,"[7503, 7514]",2.0,"[1602, 1418, 1605, 1417]",4.0,8.0
1079880,100342,100067,0.805893,3.47477,2.771969,0.955705,0.552216,"[7402, 7401]",2.0,[2048],1.0,2.0
1054042,100225,101268,10.070093,14.798976,22.317794,9.133716,9.389334,"[5406, 5404]",2.0,"[5207, 5222, 5208]",3.0,6.0
729090,100222,100214,7.085783,17.524773,16.04717,15.776845,15.327815,"[4015, 4014]",2.0,"[4046, 4032, 4033]",3.0,6.0
846623,100039,100231,0.43239,0.575963,0.863267,0.982176,1.218038,"[1709, 1705, 1703, 1701, 1712, 1706, 1704]",7.0,"[5112, 5106]",2.0,14.0
815237,100014,100011,2.011173,2.752105,3.863607,3.281066,2.971848,"[1220, 1218, 1209, 1210]",4.0,[1125],1.0,4.0
586669,100418,100327,4.59254,3.056694,2.729758,2.109439,1.128634,"[6704, 6703, 6702]",3.0,"[6166, 6157, 6159, 6167, 6165, 6160]",6.0,18.0
746458,100127,100464,0.218515,1.277978,1.679194,1.840872,1.957994,"[2507, 2503]",2.0,"[4056, 4074]",2.0,4.0
638568,100181,100298,0.102432,0.769344,2.978008,1.286238,1.361347,"[3308, 3309]",2.0,[3115],1.0,2.0
945399,100152,100098,0.13301,0.46084,0.351307,0.294441,0.124314,"[2859, 2860]",2.0,[2434],1.0,2.0
