Unnamed: 0,Name,Company,Phone,Adreess,X,Y
142,סגולה,דלק,,דוד מרכוס 5 פתח תקוה,32.1018381,34.896865
217,קפלן,דלק,89209963,"צומת רמלה לוד, ליד מושב אחיסמך",31.938154,34.866619
244,"שיא אנרגיה ראשל""צ",אחר,39518106,לזרוב 7 ראשון לציון,31.9943157,34.7690383
15,בני ברק,דור אלון,35703425,ז'בוטינסקי 137 בני ברק,32.0927472,34.8417423
95,טן רמלה,טן,08-9218508,היצירה 10 רמלה,31.9318122,34.8816315
87,טן,טן,,מתחם מבנה בארות יצחק,32.0465888,34.9092826
29,דור אלון הכדור,דור אלון,545438703,לישנסקי 20 ראשון-לציון,31.9935716,34.7678215
53,דלק מובילי גוש דן,דלק,,דרך השבה 19 אזור,32.030281,34.7958068
131,נאות אביב,פז,36910515,דובנוב 7 תל אביב,32.0751133,34.7833337
79,הרצלייה עיר,פז,99552934,"הרב קוק 74, הרצלייה",32.1631906,34.8302927
61,דלק שבעת הכוכבים,דלק,99518682,שבעת הכוכבים 7 הרצליה,32.1653792,34.8239636
219,קרית אונו,פז,35344610,לוי אשכול 23 קרית-אונו,32.0637877,34.8616116
146,סונול,סונול,546733548,שדרות ירושלים 40 תל-אביב,32.0510948,34.7587378
198,פז פגזן תל אביב,פז,,קויפמן יחזקאל 7 תל אביב - יפו,32.0644025,34.7619924
48,דלק התאומים,אחר,525214441,הגלגל 17 רחובות,31.8873672,34.7818641
52,דלק מגשימים,דלק,,צומת מגשימים כביש 40,32.0509185,34.9048635
35,דור אלון רעננה,דור אלון,,רננים 5 רעננה,32.196792,34.876502
12,בית דגן,דור אלון,545438734,צומת בית דגן בית דגן,32.000366,34.821606
13,בית עובד,סונול,89403880,"כביש גן יבנה- תל אביב, בית עובד",32.0643091,34.7870167
54,דלק מחלף הסירה,דלק,99500656,שד' הגלים 1 \ שד' אבא אבן 1 הרצליה,32.1610242,34.8108185
33,דור אלון עלית,דור אלון,03-7511583,דרך אבא הלל 11 רמת גן,32.0847665,34.8034406
20,"גיסין פ""ת",פז,39212607,"רח' גיסין 76 פ""ת",32.0984816,34.8663649
202,פז רשף,פז,,שדרות הסנהדרין יבנה,31.8849393,34.7395075
102,ימית,דלק,35567340,לישנסקי 1 ראשון-לציון,31.9870857,34.7635839
232,רמה,דלק,37515182,"ז'בוטינסקי 67 ר""ג",32.0867665,34.811595
173,פז אבו כביר,פז,36823020,הרצל 188 תל אביב,32.0458312,34.7678976
226,רונית,פז,99575501,"כביש 2 דרום הרצליה, אחרי מחלף הסירה",32.159866,34.810436
195,פז נחלת יהודה,פז,,דרך המכבים 67 ראשון לציון,31.9832553,34.8100082
51,דלק מבואות ראשון,דלק,39697007,פלוטיצקי 26 ראשון לציון,31.9794954,34.8106852
7,אם המושבות,דלק,39307127,"סמטת התבור, פתח תקוה",32.109702,34.8863341
76,הסיירים,פז,35507874,דרומית למחלף גנות גנות,32.0182338,34.8212718
58,דלק צריפין,דלק,549733795,כביש 44,31.9079776,34.8913221
155,סונול צריפין,סונול,,כביש 44,31.9079776,34.8913221
16,בת ים,"סד""ש",35514314,האורגים 15 בת ים,32.00975,34.7456843
167,עומר סחרוב,סונול,39623222,סחרוב 14 ראשון לציון,31.9907447,34.7696341
144,סונול,סונול,03-5287678,לוריא 8 תל אביב - יפו,32.0775395,34.771829
22,גן חיים,דור אלון,545438784,מושב גן חיים גן חיים,32.195761,34.906957
200,פז רמה רמת גן,פז,36729498,ז''בוטינסקי 68 רמת גן,32.0866712,34.8122797
211,פתח תקווה צפון,פז,,הירקונית 2 פתח תקווה,32.0975291,34.8960854
41,דלק אזור תעשיה כפר סבא,דלק,,התעש 1 כפר סבא,32.1716482,34.9241987
116,לוינסקי,דור אלון,543438785,לוינסקי 84 תל-אביב,32.0577647,34.7764528
70,הירקון,פז,36041706,דרך נמיר 136 תל אביב,32.0965926,34.7943169
36,דור אמד חולון,דור אלון,,הפלד 6 חולון,32.0246249,34.7947911
73,המרכבה סונול,סונול,,רחוב המרכבה 47 חולון,32.01503,34.808327
21,גל ים ראשון,אחר,,אחי דקר 6 ראשון לציון,31.9985438,34.734045
172,פז,פז,,בן ציון גליס 45 פתח תקווה,32.1059749,34.8894307
237,רמת אביב,דלק,36994214,"תל אביב, דרך נמיר 170",32.112016,34.792519
234,רמלה גדולה,פז,89234352,הרצל 117 רמלה,31.9223397,34.8813945
85,טופז,פז,36475550,משה סנה 199 רמת השרון,32.1303508,34.8295164
37,"דורון כ""ס",דלק,97481904,נתיב האבות 1 רעננה,32.174346,34.891375
