Aimsun,Ex,Sim,X,Y
18360354,1325,70,178463.2279,665100.1568
18361023,5219,777,187998.5792,648055.1894
18360409,1602,124,179674.2438,664649.7898
18360811,2911,512,175697.5172,658702.6352
18360908,4036,663,190515.6486,666517.8117
18360394,1514,109,178608.5142,663988.3206
18360393,1513,108,178678.1242,663774.9419
18360743,2817,444,179474.8196,658769.6457
18361212,5503,860,180123.2702,648941.1609
18361052,5324,805,182760.8077,652421.2516
18360718,2614,424,186596.6218,659082.1196
18360727,2801,432,179754.1474,659732.4233
18360736,2810,437,177929.8749,659733.4079
18360579,2127,285,187442.7886,668909.4616
18360369,1410,84,180163.6838,666280.5575
18360641,2405,347,182979.4521,666505.9475
18360306,1123,23,179950.9142,667550.3244
18360905,4033,660,189569.5662,666636.9436
18360652,2417,359,182552.434,665897.0256
18360778,2852,479,178189.6834,657260.8124
18360738,2812,439,178659.8526,659471.7085
18361145,3112,580,190018.7865,677063.06
18360464,1817,179,179724.7695,661818.298
18360676,2441,383,182575.6586,662610.3317
18360490,1925,204,181514.9835,662093.588
18360854,3306,616,190984.6222,674250.8142
18361026,5222,780,189777.1848,647606.6826
18360695,2502,402,186268.561,663592.1119
18360546,2042,257,183005.7727,673687.4811
18361106,5407,858,183779.7819,649276.0382
18360896,4024,651,185911.6889,667175.6626
18360779,2853,480,178471.412,656676.5592
18360997,5116,751,190260.279,650378.7044
18360968,4507,722,189166.4331,659949.6479
18360298,1115,15,181172.777,669190.8573
18361247,5614,884,181783.9659,644966.1504
18360632,2313,338,181609.7184,663799.8589
18361228,3116,584,190821.4876,676496.4486
18360783,2857,484,180136.4317,656865.6371
18360801,2901,502,176155.8668,659738.0748
18361066,5338,819,177689.9438,652790.1127
18361027,5223,781,187951.9676,647105.5733
18360607,2228,313,184101.1517,665639.03
18361105,5406,857,184873.2528,649740.2397
18361243,3118,586,191604.0767,676364.9175
18361056,5328,809,181761.5518,652922.6699
18360793,2867,494,179372.0692,656715.0504
18360752,2826,453,177760.316,658637.0031
18360413,1606,128,180555.7508,664650.045
18360689,2454,396,184698.1901,661316.2045
