Unnamed: 0,origin,destination,oid,sid,exitTime,entranceTime,speed,travelledDistance,Electric_sum,Aimsun_x,Origin-External-ID,Sim_x,Aimsun_y,Destenation-External-ID,Sim_y
682121,18360323,18360692,678680,154,31254.80615831974,30251.772022247314,12.979764423215949,13019.146794664031,1591,18360323.0,1214.0,40.0,18360692.0,2457.0,399.0
879181,18361233,18360907,885220,154,37119.37137119338,36391.02809429169,15.644659604983175,11394.682642705016,1345,18361233.0,3126.0,594.0,18360907.0,4035.0,662.0
1416359,18360363,18360308,1428135,154,53599.88454591449,53352.54671573639,6.46571335430435,1599.2155116071874,170,18360363.0,1404.0,78.0,18360308.0,1125.0,25.0
82503,18360313,18360454,78331,154,4925.070108743373,3939.029824733734,14.12626839077666,13929.069696037795,1840,18360313.0,1204.0,30.0,18360454.0,1807.0,169.0
615805,18361149,18361250,599745,18341725,28632.256860300244,26950.073217233552,24.61147071334769,41401.0134658084,6483,18361149.0,41.0,915.0,,,
719913,18360635,18360619,730983,154,32537.4773455672,32019.161081314087,7.516403799495143,3895.87433797223,360,18360635.0,2316.0,341.0,18360619.0,2240.0,325.0
761062,18360589,18360633,770186,154,33835.63693365349,33212.06216812134,7.720577969570389,4814.357597147568,459,18360589.0,2210.0,295.0,18360633.0,2314.0,339.0
724913,18361128,18361121,744292,154,32705.4586915511,32449.94648694992,15.604829778001536,3987.2244590032897,493,18361128.0,3029.0,568.0,18361121.0,3006.0,546.0
468834,18361249,18360694,465841,18341725,19857.20033354333,18729.48832511902,23.03995031753481,25982.428646583518,4044,,,,18360694.0,2501.0,401.0
809608,18360535,18360542,833287,154,35243.9068066736,35005.49984773892,6.334572446913442,1510.2061532200714,128,18360535.0,2031.0,247.0,18360542.0,2038.0,253.0
61791,18360286,18361142,66141,154,4195.296579726147,3524.1110801696777,22.06681297481632,14810.924890121263,2206,18360286.0,1103.0,3.0,18361142.0,3030.0,569.0
564083,18360705,18360450,568399,154,25938.75968685433,25269.78657245636,17.11700916421144,11450.818929761052,1587,18360705.0,2601.0,412.0,18360450.0,1803.0,165.0
950364,18361149,18361250,896487,18341725,38912.71154823798,36679.36325532315,15.683203704029028,35026.05621982877,5531,18361149.0,41.0,915.0,,,
1050523,18361101,18361078,1074601,154,41452.80665861225,41203.5279750824,13.463429809460512,3356.146058698908,317,18361101.0,5402.0,854.0,18361078.0,5350.0,831.0
22374,18361249,18361164,35284,18341725,2393.310612089073,2127.434145918246,22.012066324236017,5852.490407405736,888,,,,18361164.0,43.0,917.0
723201,18360686,18360623,736261,154,32647.54743525418,32191.464686393738,8.10085944021158,3694.662241623751,348,18360686.0,2451.0,393.0,18360623.0,2304.0,329.0
600616,18360622,18361249,583825,18341725,27899.882014541563,26103.96314620972,19.437666399180195,34908.471842627645,5321,18360622.0,2303.0,328.0,,,
578214,18360454,18361249,577458,18341725,26743.651873783543,25753.36456298828,20.69308961411632,20492.10406600861,3167,18360454.0,1807.0,169.0,,,
1346443,18361149,18361250,1322588,18341725,50587.54527626669,48852.54685458951,22.59186290471712,39196.84648243138,6015,18361149.0,41.0,915.0,,,
465549,18361105,18361064,471253,154,19644.60726296775,19096.951389312744,17.583129125521676,9629.50394282637,1255,18361105.0,5406.0,857.0,18361064.0,5336.0,817.0
1209323,18361168,18360354,1181345,154,45894.76445939457,44198.236870765686,17.850019073660725,30283.04981601728,4488,18361168.0,5635.0,904.0,18360354.0,1325.0,70.0
