State,Action
"(2,E2)",R6
"(8,E24)",R7
"(6,E20)",R7
"(9,E162)",R7
"(1,E79)",R7
"(11,E119)",R7
"(8,E184)",R7
"(7,E101)",T
"(8,E78)",R7
"(7,E132)",T
"(7,E149)",T
"(6,E133)",R7
"(5,E24)",T
"(7,E4)",INR7
"(10,E88)",R7
"(10,E99)",R7
"(8,E6)",R7
"(9,E190)",R7
"(1,E77)",R7
"(4,E158)",R7
"(1,E182)",R7
"(4,E102)",R7
"(5,E28)",T
"(1,E31)",R7
"(8,E178)",R7
"(8,E165)",R7
"(4,E131)",R7
"(10,E167)",R7
"(10,E25)",T
"(9,E50)",R7
"(2,E111)",T
"(8,E168)",R7
"(3,E15)",T
"(7,E85)",T
"(5,E161)",R7
"(8,E190)",R7
"(6,E166)",R7
"(2,E136)",T
"(5,E110)",R7
"(11,E80)",R7
"(6,E102)",R7
"(1,E184)",R7
"(10,E83)",R7
"(9,E133)",R7
"(10,E75)",R7
"(6,E56)",R7
"(3,E5)",R8
"(6,E109)",R7
"(7,E48)",T
"(11,E131)",R7
