State,Action,Reword
"(6,E175)",R9,-100002.33592922222
"(1,E27)",R10,-100002.45797238636
"(9,E168)",R11,-0.4528821605206073
"(2,E2)",T,-0.2356547612586418
"(1,E160)",R11,-100002.37539816092
"(4,E76)",R3,-100003.09976327272
"(12,E92)",R2,-100002.31471514404
"(13,E91)",R5,-1.482416149068323
"(3,E48)",R7,-0.7011429479768786
"(2,E22)",R6,-100002.97063180125
"(6,E55)",R2,-100002.935532
"(13,E125)",R4,-0.5810319661523146
"(8,E74)",INR8,-0.2413673510895883
"(12,E121)",R13,-0.904891532125206
"(2,E85)",R11,-1.4445706942392909
"(7,E163)",R5,-0.5400261883967561
"(6,E144)",R7,-0.7121674129572498
"(10,E107)",R4,-1.153062585751979
"(4,E35)",R7,-100002.46459850468
"(12,E187)",R1,-100002.21716331878
"(12,E119)",R9,-1.6623757560975607
"(3,E17)",R8,-1.1640407244094488
"(12,E140)",T,-0.145284053468208
"(8,E97)",R2,-100002.0076294678
"(10,E104)",R4,-1.153062585751979
"(11,E184)",R2,-1.434311420689655
"(12,E69)",T,-0.145284053468208
"(5,E32)",R9,-1.548468415841584
"(8,E149)",R5,-0.8396643731778426
"(4,E32)",R12,-1.3821584172661872
"(5,E119)",R7,-0.5362945781893004
"(7,E133)",R10,-1.6034911784511785
"(1,E165)",R12,-100002.201
"(7,E35)",T,-0.2151773542894564
"(4,E31)",R2,-0.6826765019277953
"(13,E5)",R1,-100003.00674470588
"(11,E139)",R6,-1.472873679458239
"(7,E170)",R1,-0.7145222068965518
"(1,E183)",R10,-100002.45797238636
"(4,E184)",R12,-1.3821584172661872
"(10,E134)",R7,-1.6221141414141411
"(13,E16)",R1,-100003.00674470588
"(2,E87)",R9,-1.0717287368421051
"(4,E146)",R10,-1.1151733333333331
"(7,E93)",INR7,-0.2151773542894564
"(2,E138)",R5,-100002.61247635036
"(12,E56)",R5,-0.7350906182531893
"(5,E133)",R10,-1.006478081395349
"(1,E178)",INR1,-0.2437611155823832
"(9,E151)",R13,-1.082114683908046
