State,Action,Next State,Transitions
"(6,E85)",R4,"(4,E80)",0.0326049404761904
"(6,E122)",R12,"(12,E72)",0.0001470991735537
"(12,E36)",R2,"(2,E15)",0.0064900857142857
"(6,E189)",R9,"(9,E44)",0.0005539840425531
"(7,E119)",R13,"(13,E91)",0.0043869915254237
"(6,E166)",R10,"(10,E31)",0.000179006060606
"(6,E152)",R10,"(10,E123)",0.0044519867549668
"(9,E122)",INR9,"(9,E111)",0.0279090661157024
"(3,E74)",R7,"(7,E36)",0.0019549863013698
"(11,E170)",R5,"(5,E116)",0.0015269644970414
"(10,E143)",R2,"(2,E74)",0.0013819647887323
"(13,E177)",R6,"(6,E130)",0.0022480113636363
"(4,E120)",R6,"(6,E66)",0.0025099411764705
"(13,E121)",R2,"(2,E62)",0.0016310083333333
"(7,E128)",R11,"(11,E3)",0.0005130629921259
"(7,E92)",R8,"(8,E76)",0.012241967032967
"(5,E188)",R6,"(6,E20)",3.101604278075e-07
"(4,E92)",R7,"(7,E27)",0.0020690109890109
"(1,E180)",R5,"(5,E10)",0.0003289720670391
"(12,E181)",R2,"(2,E83)",0.0008789833333333
"(12,E179)",R11,"(11,E85)",1.5050561797752456e-05
"(5,E93)",INR5,"(5,E20)",1.9565217391263578e-07
"(13,E112)",R11,"(11,E59)",0.0002389369369369
"(13,E131)",R2,"(2,E97)",0.0036319846153846
"(7,E141)",R3,"(3,E20)",2.3971428571429337e-05
"(11,E90)",R9,"(9,E19)",9.325842696622948e-07
"(2,E137)",R1,"(1,E134)",0.0357560073529411
"(3,E153)",R4,"(4,E93)",0.0015290789473684
"(4,E146)",R9,"(9,E81)",0.0018970413793103
"(7,E179)",R2,"(2,E39)",0.000591011235955
"(11,E107)",R13,"(13,E14)",1.5566037735848574e-05
"(4,E49)",R1,"(1,E5)",0.003845
"(2,E160)",R7,"(7,E10)",0.0005300188679245
"(11,E189)",R12,"(12,E47)",1.0531914893618697e-06
"(8,E177)",R3,"(3,E156)",0.0093970113636363
"(2,E191)",R4,"(4,E91)",4.633157894736815e-05
"(5,E101)",R12,"(12,E39)",0.000174
"(9,E169)",R5,"(5,E54)",0.0006739761904761
"(2,E135)",INR2,"(2,E49)",1.0447761194081725e-07
"(8,E87)",R3,"(3,E70)",0.013667976744186
"(8,E190)",R12,"(12,E73)",0.0001379894179894
"(11,E76)",R6,"(6,E45)",0.00458204
"(8,E188)",R11,"(11,E107)",3.397860962566869e-05
"(1,E89)",R9,"(9,E88)",0.4659989772727272
"(7,E163)",R8,"(8,E117)",0.002279049382716
"(7,E157)",R2,"(2,E123)",0.0030299807692307
"(7,E129)",R2,"(2,E87)",0.0024299921875
"(3,E113)",R7,"(7,E94)",0.0125779910714285
"(10,E190)",R11,"(11,E69)",2.2222222222215078e-07
"(3,E95)",R13,"(13,E27)",0.0014490106382978
