State,Action
"(9,E112)",R12
"(12,E21)",T
"(16,E31)",R12
"(8,E58)",R12
"(16,E152)",R12
"(5,E6)",R12
"(10,E81)",R12
"(7,E56)",R12
"(10,E179)",R12
"(6,E93)",R12
"(18,E163)",R12
"(12,E142)",T
"(12,E59)",T
"(5,E70)",R12
"(5,E93)",R12
"(3,E140)",R12
"(1,E6)",R3
"(12,E3)",INR12
"(12,E123)",T
"(14,E142)",R18
"(1,E176)",R3
"(13,E168)",R17
"(7,E47)",R12
"(11,E14)",R12
"(9,E143)",R12
"(3,E183)",R12
"(19,E64)",R15
"(3,E40)",R12
"(16,E46)",R12
"(5,E4)",R12
"(9,E33)",R12
"(5,E175)",R12
"(8,E172)",R12
"(2,E27)",R6
"(13,E152)",R17
"(1,E1)",C1
"(2,E26)",R9
"(14,E125)",R18
"(2,E105)",R3
"(17,E70)",R12
"(15,E160)",R12
"(20,E151)",R12
"(7,E109)",R12
"(7,E49)",R12
"(4,E14)",R7
"(9,E29)",R12
"(15,E141)",R12
"(19,E52)",R18
"(7,E118)",R12
"(3,E85)",R12
