State,Action,Reword
"(11,E6)",R1,-100001.73070440369
"(7,E59)",T,-0.1242418281421192
"(12,E65)",R13,-1.787336911764706
"(10,E61)",R11,-0.342654578313253
"(7,E94)",R19,-100002.23424342106
"(4,E124)",R14,-100003.0634709589
"(15,E98)",R6,-1.61386
"(6,E172)",R18,-1.461100551724138
"(8,E168)",R4,-1.3250355833333336
"(16,E83)",R5,-100001.83279980198
"(19,E96)",R12,-100001.8317838
"(13,E62)",R15,-1.149614573643411
"(16,E42)",R17,-0.6243936630602782
"(2,E190)",R8,-1.6306561933534744
"(14,E124)",R12,-100002.198288
"(12,E166)",R13,-1.787336911764706
"(7,E122)",INR7,-0.1242418281421192
"(3,E138)",R12,-1.6321424913494809
"(7,E70)",R9,-1.06047350473613
"(4,E119)",R20,-100001.86187471186
"(16,E110)",R20,-1.35347658436214
"(7,E39)",R20,-100001.96611333331
"(4,E134)",R15,-100002.8454025641
"(6,E68)",R2,-1.6250305756929635
"(14,E4)",T,-0.1462223021582733
"(18,E88)",R14,-1.4372910569105692
"(11,E153)",R13,-100001.93208953126
"(17,E8)",R14,-0.9869430565371026
"(5,E124)",R10,-0.4934777272727272
"(6,E29)",R20,-100002.37678781609
"(10,E180)",R4,-100001.77739726618
"(1,E37)",R20,-100002.31313142856
"(11,E38)",T,-0.1244471990511958
"(19,E161)",R3,-100002.99556677966
"(3,E101)",R12,-1.6321424913494809
"(19,E86)",R16,-1.1980957499999998
"(8,E172)",R15,-1.5692312727272728
"(17,E6)",R19,-0.6760051690821255
"(13,E69)",R6,-100002.7458236036
"(1,E72)",R18,-100002.1945477966
"(1,E181)",R19,-100003.11775857145
"(2,E142)",R19,-100003.32608964284
"(18,E57)",R7,-0.8891663617463618
"(15,E82)",INR15,-0.1681921533333333
"(6,E143)",R14,-100003.02175885058
"(4,E2)",R13,-100003.36410892857
"(16,E90)",R20,-1.35347658436214
"(17,E81)",R8,-1.6316452564102564
"(19,E66)",T,-0.1629083783783783
"(17,E9)",R13,-0.5184265452930729
