State,Action,Next State,Transitions
"(1,E114)",R2,"(2,E108)",0.05316903539823
"(18,E46)",R2,"(2,E19)",0.005022
"(3,E127)",R9,"(9,E58)",8.174603174600336e-07
"(15,E187)",R1,"(1,E55)",0.0007530215053763
"(10,E104)",R13,"(13,E70)",0.003539
"(8,E160)",R9,"(9,E32)",8.867924528298536e-07
"(7,E111)",R13,"(13,E26)",0.0010819636363636
"(10,E192)",R20,"(20,E72)",6.020942408375719e-07
"(18,E48)",R6,"(6,E25)",0.007484
"(3,E169)",R13,"(13,E112)",0.0016740178571428
"(7,E105)",R20,"(20,E36)",0.0014930288461538
"(10,E149)",INR10,"(10,E87)",6.756756756726006e-08
"(20,E65)",R6,"(6,E30)",0.0037419687499999
"(20,E109)",R11,"(11,E46)",0.0007590092592592
"(4,E182)",R17,"(17,E9)",0.0004819944751381
"(3,E170)",INR3,"(3,E2)",4.733727810655623e-08
"(5,E93)",R18,"(18,E50)",0.0024549891304347
"(1,E34)",R14,"(14,E6)",0.0039270303030303
"(2,E168)",R5,"(5,E165)",0.057081994011976
"(19,E145)",R5,"(5,E19)",0.0006109513888888
"(3,E99)",R20,"(20,E91)",0.0222240204081632
"(8,E162)",R4,"(4,E63)",0.0007539627329192
"(3,E145)",R10,"(10,E74)",0.0011540277777777
"(6,E126)",R10,"(10,E123)",0.071219992
"(9,E161)",R15,"(15,E11)",0.000522025
"(16,E142)",R12,"(12,E29)",4.042553191487499e-07
"(13,E115)",R20,"(20,E80)",0.0035199912280701
"(9,E181)",R2,"(2,E19)",0.0001980277777777
"(9,E77)",INR9,"(9,E46)",1.5789473684226317e-07
"(15,E53)",R18,"(18,E45)",0.0931431923076923
"(20,E80)",R19,"(19,E30)",0.0006770253164556
"(4,E185)",R10,"(10,E17)",0.0003950217391304
"(7,E150)",INR7,"(7,E4)",1.3422818791587177e-08
"(18,E158)",R2,"(2,E101)",0.0018600382165605
"(2,E107)",R7,"(7,E98)",0.0163639433962264
"(5,E85)",R20,"(20,E67)",0.0128600238095238
"(3,E26)",R11,"(11,E6)",0.00991104
"(20,E66)",R13,"(13,E61)",0.0410330615384615
"(3,E164)",R8,"(8,E159)",0.0869575153374233
"(13,E104)",R10,"(10,E86)",0.0079840194174757
"(7,E85)",R3,"(3,E44)",0.0029059761904761
"(15,E186)",R1,"(1,E3)",0.0005030162162162
"(12,E170)",R10,"(10,E128)",0.0030549881656804
"(4,E164)",R3,"(3,E48)",5.102453987730064e-05
"(20,E184)",R5,"(5,E52)",3.22950819672131e-05
"(12,E61)",R1,"(1,E58)",0.0673889666666666
"(7,E129)",R19,"(19,E92)",0.0030499921875
"(18,E138)",R17,"(17,E24)",0.0004319708029197
"(16,E185)",R5,"(5,E114)",0.0013800054347826
"(14,E112)",R18,"(18,E48)",0.001395009009009
